,0
931,32022D0354
932,32015R1951
933,32014R0064
934,32009L0097
935,32015D1064
936,32020R0398
937,32008R0859
938,32020R2081
939,31979D0670
940,32015R0851
941,22021D1115
942,22006A0718(01)
943,32018O0005
944,32016R1627
945,31998Y1203(02)
946,22009D0117
947,02014R0269-20230728
948,32004R2103
949,32020R1511
950,31994D0459
951,02000O0006(01)-20011121
952,32023D0331(01)R(01)
953,31974R1985
954,01997D0823-20010101
955,31998D0243
956,32021R2260
957,32002R1310
958,32014D0851
959,32022D0571
960,32010D0187
961,31961D1104(01)
962,32022D0660
963,32019R1090
964,32023R0254
965,31977Y0115(01)
966,02019R1781-20230124
967,31986D0116
968,31985D0528
969,32016R0794
970,32012R0665
971,01991R2150-19911123
972,31972R1369
973,32006R1649
974,31999D0686
975,32000D0229
976,32017R0157
977,32023D1553
978,31990R0048
979,31985D0563
980,01983D0516-19860101
981,22021D2215
982,32014D0275
983,31996D0198
984,22005D0632
985,31987D0593
986,31975H0367
987,32007R1567
988,32022L0277
989,32006R0967R(02)
990,32020R0567
991,32022R0704
992,32013R1302
993,32021D1835
994,32022D0640
995,32023R0340
996,31999R2113
997,22006D0073
998,22021D1931
999,22014X0111(01)
1000,32020R2092
1001,32007R0501
1002,32006R0951R(01)
1003,32014R0001
1004,31992D0262
1005,32000Y0229(02)
1006,32001D0340
1007,02016R1800-20211207
1008,31991R3402
1009,32012D0234R(01)
1010,31992R1590
1011,32002D0084
1012,02016R0921-20170630
1013,32002L0085
1014,32021R1059R(02)
1015,32014L0049
1016,32020D1789
1017,32014D0045(01)
1018,31991D0462
1019,31998R1223
1020,32012R0308
1021,22003D0018
1022,32021D0373
1023,31992Y0204(01)
1024,22001D0815
1025,31980D0050
1026,32016D0043
1027,32007R0445
1028,32010D0017(01)
1029,32020R0641
1030,02011L0024-20140101
1031,32000R1611
1032,02005R0111-20230220
1033,32007R0973
1034,32021R2155
1035,32002D0314
1036,22021A1216(01)
1037,32015R0812
1038,32000D0098
1039,32016R1434
1040,31997R0560
1041,32006R1924R(06)
1042,02015R0378-20170426
1043,32022D1313
1044,32001A0309(05)
1045,22011A0121(01)
1046,01971R1182-19710608
1047,32002G0522(01)
1048,32019R0631
1049,02021L0555-20210406
1050,32011R1169R(13)
1051,31994R3036
1052,21993A0216(02)
1053,22012D0025
1054,32006D0351
1055,32018D0031
1056,32013L0013
1057,32012R0084
1058,32022R0378
1059,32010L0024
1060,32001R1554
1061,31996D0817(01)
1062,32022R0215
1063,32011D0312
1064,32009D0713(01)
1065,01992L0062-19920718
1066,32022D2176
1067,32021R0528
1068,01997L0081-19980525
1069,31995D2493
1070,32021D2111
1071,21993A0618(01)
1072,31990L0270
1073,31986R1482
1074,32008D0068
1075,31989D0252
1076,31979R2764
1077,32014R0793
1078,32015D2394
1079,32015R0375
1080,32002F0584R(01)
1081,02001L0020-20220101
1082,32022R0683
1083,32023D1601
1084,22019D0558
1085,32003R1021
1086,32022D2102
1087,22003D0617
1088,32023R0591
1089,31994D0481
1090,32014D0929
1091,32003R2062
1092,32014D0895
1093,31999R2765
1094,31974A0370
1095,32016R0606
1096,32010R0642
1097,22023D0698
1098,32010R1093
1099,32020D0563
1100,32015D2009R(01)
1101,32021R0100
1102,32007R0833
1103,32008R0737
1104,32013D0423
1105,02001R1936-20221222
1106,32018D2078
1107,32009R0042
1108,32003D0207
1109,32013R0007
1110,32016D1080
1111,32008D0938
1112,32013R1054
1113,32009R0020
1114,31999R2795R(02)
1115,32017D1793
1116,32006R1924R(01)
1117,32022D0677
1118,02009R0391-20190726
1119,32004D0026(01)
1120,02009D0937-20230101
1121,32019R0723
1122,31991R1809
1123,32023D1302
1124,32013R1305
1125,32008L0007
1126,31994D0073
1127,32002R1750
1128,32009R0935
1129,32022L2561R(01)
1130,32014R0520
1131,32021R0277
1132,32013H0142
1133,22006D0098
1134,31966S0022
1135,32022R0208
1136,32013D0046(01)
1137,31993A0456
1138,32021D1001
1139,32019R1701
1140,32015R0628
1141,32021O1829
1142,32010D0308
1143,32016D2387
1144,32016O0023
1145,32010G0616(01)
1146,32023R0953
1147,32018R2058
1148,32015R1369
1149,31994D0516
1150,32014R0187
1151,32015D1612
1152,31998H0480
1153,32015R0208R(01)
1154,32000Y1228(01)
1155,32008R1156R(01)
1156,32010D0685
1157,21975A1201(01)
1158,32022R0046
1159,02007L0036-20220812
1160,32021D2013
1161,02011R0723-20120801
1162,31986Y0924(01)
1163,31972D0268
1164,32000Y0731(02)
1165,22009D0823
1166,22000D0615(13)
1167,22015A0908(01)
1168,32023R1419
1169,32019R1677
1170,31989R0548R(01)
1171,32022D0963
1172,32004R0834
1173,32019R1148R(03)
1174,31990R2175
1175,32022R0199
1176,31978L0055
1177,32005D0849
1178,31977L0486
1179,31996D0159
1180,32017R1954
1181,32014D0734
1182,31987L0217
1183,32019R1149R(01)
1184,41986X0724
1185,32002R0460
1186,31995D2717
1187,32004L0113
1188,32017R2384
1189,32016R0636
1190,31988R3491
1191,32008R0011
1192,32015R1078
1193,32019R1286
1194,32006R0957
1195,31989R1586
1196,31996D0319
1197,32013D0296
1198,32013D0122
1199,32016R2031
1200,32019D0038R(01)
1201,32017A1109(01)
1202,32022R0839
1203,31987D0297
1204,32000R2870
1205,32019R0113
1206,31999D0606
1207,32021R0167
1208,32017D0946
1209,32023D0693
1210,21970A1123(02)
1211,32021R0451R(01)
1212,31997R0515
1213,32023R0566
1214,32019D0572
1215,31973R0558
1216,32014R0890
1217,32015D1937
1218,32013R0658
1219,32019D0028
1220,32023R1511
1221,32014L0047R(02)
1222,32013L0020
1223,32002R1017
1224,32020L0284
1225,31973Y1231(01)
1226,32004D0541
1227,32022D2198
1228,22000D0428(01)
1229,32001R0606
1230,32023R0915
1231,32022D0567
1232,31994D0256
1233,32008D0639
1234,32008R0508
1235,32014R0611R(01)
1236,32021R0371
1237,32021D0779
1238,32018R0184
1239,32001D0224
1240,31964D0350
1241,32005R2177
1242,32000R2354
1243,31995D0530
1244,32001D0711
1245,31975S1272
1246,32018D0494
1247,32022D0011
1248,32013R0600
1249,32019D0858
1250,32020D2168
1251,32020D0135
1252,32006D0541
1253,31990D0183
1254,31992A0513
1255,32017R2189
1256,02010D0017(01)-20220330
1257,32000D0296
1258,22000A1215(01)R(01)
1259,32023R1342
1260,32015D0900
1261,31983L0129
1262,31993L0011
1263,32014R0318
1264,32021R2091
1265,32015R2063
1266,22005D0711
1267,31988R2338
1268,32012D0023
1269,32012G0107(01)
1270,32020D2030
1271,22021D2216
1272,32020R2099
1273,32022D1090
1274,31998R1197
1275,31980D0272
1276,32011D0398
1277,31988A0394
1278,32013R0953
1279,32020L0177
1280,31985D0067
1281,32013D0785
1282,21990A0412(08)
1283,32019D0031
1284,02006R1920-20181123
1285,32016R1166
1286,31979Y0630(01)
1287,32021D1851
1288,32014R1016
1289,31995D0297
1290,32021D1710
1291,02001L0086-20011110
1292,31972D0106
1293,31991Y0605(01)
1294,32014R1003
1295,32020R0880
1296,31992R0330
1297,32021R0011
1298,22012A0306(01)
1299,32017R0571
1300,22022D2225
1301,02019R0934-20220208
1302,32022R0150
1303,32019R0649
1304,32023D1558
1305,32023D0607(01)
1306,32019R2124
1307,32007R0834
1308,32015D1120
1309,32022R1399
1310,32016D1223
1311,32021D2189
1312,32010D0363
1313,32023D0549
1314,31978R3179
1315,32012R0936
1316,02019R2072-20230612
1317,32006D0515
1318,31989D0216
1319,31991D0274
1320,32009D0337
1321,01997R2027-20020530
1322,32020D1422
1323,32008L0006
1324,32014R0910R(02)
1325,32021R2066
1326,32022D0006
1327,31978D0516
1328,32000R0710
1329,32003R1352
1330,41993X1221
1331,31978D1028
1332,02006R0561-20200820
1333,32019D0252
1334,22019A0121(04)
1335,32021R0955
1336,32020R0593
1337,32018D0925(01)
1338,32013R1083
1339,32013R0817
1340,32019D0448
1341,32014D0388R(01)
1342,01976A0216(01)-20040709
1343,32013R0668
1344,22016D1288
1345,32009D0767R(04)
1346,32015D0733
1347,31984L0372
1348,32017R2159
1349,32014D0403
1350,32013D0355
1351,31990R1912
1352,31996D0566
1353,22017D2290
1354,02010R0255-20171211
1355,21995D0831(01)
1356,21991D1112(12)
1357,32013R1310
1358,31990R3202
1359,32002R0969
1360,32020D1790
1361,32005D0125
1362,32020R1002
1363,32010D0027
1364,02006R1731-20130701
1365,32022D0785
1366,31993R1108
1367,32021D0659
1368,32002R0142R(01)
1369,32020R1720
1370,22013A0921(01)
1371,32019Y1011(01)
1372,32004L0048
1373,02011A1209(01)-20180716
1374,22021D0894
1375,32002R0178
1376,32014D0366
1377,32021D1834
1378,31999D0527(01)
1379,32018R0408
1380,02003R0450-20090807
1381,22019A0121(03)
1382,32021L0971
1383,31985L0444
1384,32002G0706(01)
1385,32020R1812R(01)
1386,32008R0331
1387,32002D0417
1388,32007D0476
1389,22018D1057
1390,01978A1024(01)-19810317
1391,32022D0395
1392,32022R1619
1393,22012D0351
1394,32020R0022
1395,31970H0449
1396,31997D0606
1397,32004R0501
1398,31971R1182R(03)
1399,32018D0889
1400,32003D0475
1401,02000R1452-20000705
1402,01999L0002-20081211
1403,32014D0555
1404,32019R0302
1405,32014R0504
1406,32020R0207
1407,32022D0995
1408,32020D0765
1409,32004R0847
1410,32006R1723
1411,22005A0607(01)
1412,32014D0431
1413,31999D0171R(01)
1414,32020R0203
1415,32021R1078
1416,32014R0699
1417,32013R0604R(01)
1418,32007D0229
1419,31983D0573
1420,32002D0746
1421,22004D0058
1422,32015R0240
1423,32015R0002
1424,22004D1214(01)
1425,32014D0284
1426,22003A0807(01)
1427,32018R0931
1428,31993R3608
1429,31985D0215
1430,32020R0778
1431,32022R0244
1432,32020R0657
1433,32015R1296
1434,32004R1340
1435,32014R0506
1436,22016D0383
1437,32021R1713
1438,22004D0369
1439,32003L0017
1440,22004D0183
1441,32020R0501
1442,22006D0878
1443,32022D0752
1444,32010R0243
1445,32019R1213
1446,32021D2123
1447,32014R1334
1448,32021D1844
1449,32010D0226
1450,02014L0059-20221114
1451,32015R0108
1452,31977R1663
1453,32019R1690
1454,31996R0983
1455,22004A0806(02)
1456,32020R0993
1457,32020D0140
1458,32017R2107
1459,22010D0637
1460,32014D0425
1461,32021D2058
1462,32022D0983
1463,22006D0041
1464,32002R1406
1465,32021R2003
1466,32022D0745
1467,32016R0622
1468,31994D0728
1469,32020D2125
1470,32002L0090
1471,32019D2209
1472,32005D0606
1473,32020D1384
1474,32012R0475
1475,22011D0092
1476,32011R0762
1477,02003L0096-20230110
1478,32003D0726
1479,31964D0566
1480,31994R3329
1481,31996R2271
1482,32009D0875
1483,32015O0035
1484,32006R1916
1485,32007A0621(01)
1486,32018L1972R(01)
1487,32015D0290
1488,32006R0562
1489,32014R1234
1490,32019R1882
1491,32015R0791
1492,32010L0035
1493,32011R0428
1494,32023R0589
1495,32006D0957
1496,32016R0758
1497,22006D0999
1498,32018R0255
1499,32010D0642
1500,22012D0122
1501,32021D0262
1502,32014L0059R(07)
1503,32021D2125
1504,22022D1077
1505,02010R1261-20101230
1506,31999R0718
1507,31991D0213
1508,22010A0212(01)
1509,32021R0807
1510,32013R1264
1511,32010L0041
1512,22012D0655
1513,32011D0213
1514,32016R0323
1515,02006R1039-20061022
1516,32008L0098R(01)
1517,32002R2012
1518,32002D0283
